year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2005,Sinaloa,M s de 2 hasta 3 s.m.,321081,309418,11663,0,0,0
2005,Sinaloa,M s de 3 hasta 5 s.m.,498356,295652,202704,0,0,0
2005,Sinaloa,M s de 5 hasta 10 s.m.,142187,101345,40842,0,0,0
2005,Sinaloa,No especificado,26969,16846,10123,0,0,0
2005,Sinaloa,No recibe ingresos,126955,106496,20459,0,0,0
2005,Sonora,1 salario m¡nimo,27337,25991,1346,0,0,0
2005,Sonora,Menos de 1 s.m.,419210,371584,47626,0,0,0
2005,Sonora,M s de 1 hasta 2 s.m.,26823,24928,1895,0,0,0
2005,Sonora,M s de 10 s.m.,635832,315294,320538,0,0,0
2005,Sonora,M s de 2 hasta 3 s.m.,357542,347940,9602,0,0,0
2005,Sonora,M s de 3 hasta 5 s.m.,686388,394660,291728,0,0,0
2005,Sonora,M s de 5 hasta 10 s.m.,128732,96150,32582,0,0,0
2005,Sonora,No especificado,33888,19314,14574,0,0,0
2005,Sonora,No recibe ingresos,124858,112205,12653,0,0,0
2005,Tabasco,1 salario m¡nimo,110445,91784,18661,0,0,0
2005,Tabasco,Menos de 1 s.m.,722383,701937,20446,0,0,0
2005,Tabasco,M s de 1 hasta 2 s.m.,13431,11684,1747,0,0,0
2005,Tabasco,M s de 10 s.m.,476118,234345,241773,0,0,0
2005,Tabasco,M s de 2 hasta 3 s.m.,235090,229383,5707,0,0,0
2005,Tabasco,M s de 3 hasta 5 s.m.,191909,143371,48538,0,0,0
2005,Tabasco,M s de 5 hasta 10 s.m.,82467,62844,19623,0,0,0
2005,Tabasco,No especificado,27865,16887,10978,0,0,0
2005,Tabasco,No recibe ingresos,108967,104654,4313,0,0,0
2005,Tamaulipas,1 salario m¡nimo,34336,31198,3138,0,0,0
2005,Tamaulipas,Menos de 1 s.m.,388204,367807,20397,0,0,0
2005,Tamaulipas,M s de 1 hasta 2 s.m.,30992,19277,11715,0,0,0
2005,Tamaulipas,M s de 10 s.m.,803550,422647,380903,0,0,0
2005,Tamaulipas,M s de 2 hasta 3 s.m.,471593,453144,18449,0,0,0
2005,Tamaulipas,M s de 3 hasta 5 s.m.,1048969,599927,449042,0,0,0
2005,Tamaulipas,M s de 5 hasta 10 s.m.,168787,123610,45177,0,0,0
2005,Tamaulipas,No especificado,35399,22951,12448,0,0,0
2005,Tamaulipas,No recibe ingresos,260336,231984,28352,0,0,0
2005,Tlaxcala,1 salario m¡nimo,1464,1319,145,0,0,0
2005,Tlaxcala,Menos de 1 s.m.,280358,253374,26984,0,0,0
2005,Tlaxcala,M s de 1 hasta 2 s.m.,2944,2651,293,0,0,0
2005,Tlaxcala,M s de 10 s.m.,271043,127848,143195,0,0,0
2005,Tlaxcala,M s de 2 hasta 3 s.m.,163380,162414,966,0,0,0
2005,Tlaxcala,M s de 3 hasta 5 s.m.,435095,247466,187629,0,0,0
2005,Tlaxcala,M s de 5 hasta 10 s.m.,24392,18851,5541,0,0,0
2005,Tlaxcala,No especificado,4780,2947,1833,0,0,0
2005,Tlaxcala,No recibe ingresos,56679,55022,1657,0,0,0
2005,Veracruz,1 salario m¡nimo,127531,99195,28336,0,0,0
2005,Veracruz,Menos de 1 s.m.,2775300,2604895,170405,0,0,0
2005,Veracruz,M s de 1 hasta 2 s.m.,58275,44743,13532,0,0,0
2005,Veracruz,M s de 10 s.m.,1765070,752622,1012448,0,0,0
2005,Veracruz,M s de 2 hasta 3 s.m.,848607,835329,13278,0,0,0
2005,Veracruz,M s de 3 hasta 5 s.m.,1120788,721437,399351,0,0,0
2005,Veracruz,M s de 5 hasta 10 s.m.,232021,173558,58463,0,0,0
2005,Veracruz,No especificado,55008,34551,20457,0,0,0
2005,Veracruz,No recibe ingresos,423279,390327,32952,0,0,0
2005,Yucat n,1 salario m¡nimo,3316,3198,118,0,0,0
2005,Yucat n,Menos de 1 s.m.,400663,368926,31737,0,0,0
2005,Yucat n,M s de 1 hasta 2 s.m.,12599,9266,3333,0,0,0
2005,Yucat n,M s de 10 s.m.,477322,217220,260102,0,0,0
2005,Yucat n,M s de 2 hasta 3 s.m.,241485,234474,7011,0,0,0
2005,Yucat n,M s de 3 hasta 5 s.m.,625912,340361,285551,0,0,0
2005,Yucat n,M s de 5 hasta 10 s.m.,100675,78210,22465,0,0,0
2005,Yucat n,No especificado,33726,20050,13676,0,0,0
2005,Yucat n,No recibe ingresos,121979,116836,5143,0,0,0
2005,Zacatecas,1 salario m¡nimo,13919,13778,141,0,0,0
2005,Zacatecas,Menos de 1 s.m.,584225,508232,75993,0,0,0
2005,Zacatecas,M s de 1 hasta 2 s.m.,8984,8266,718,0,0,0
2005,Zacatecas,M s de 10 s.m.,372686,161840,210846,0,0,0
2005,Zacatecas,M s de 2 hasta 3 s.m.,186422,184541,1881,0,0,0
2005,Zacatecas,M s de 3 hasta 5 s.m.,179872,111833,68039,0,0,0
2005,Zacatecas,M s de 5 hasta 10 s.m.,31475,24487,6988,0,0,0
