year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2008,Michoac n,M s de 10 s.m.,1308343,530561,777782,0,0,0
2008,Michoac n,M s de 2 hasta 3 s.m.,497209,489825,7384,0,0,0
2008,Michoac n,M s de 3 hasta 5 s.m.,960108,621131,338977,0,0,0
2008,Michoac n,M s de 5 hasta 10 s.m.,164550,139579,24971,0,0,0
2008,Michoac n,No especificado,31087,15958,15129,0,0,0
2008,Michoac n,No recibe ingresos,215927,197383,18544,0,0,0
2008,Morelos,1 salario m¡nimo,7428,7428,0,0,0,0
2008,Morelos,Menos de 1 s.m.,408698,365399,43299,0,0,0
2008,Morelos,M s de 1 hasta 2 s.m.,17341,15520,1821,0,0,0
2008,Morelos,M s de 10 s.m.,566953,237643,329310,0,0,0
2008,Morelos,M s de 2 hasta 3 s.m.,288553,283244,5309,0,0,0
2008,Morelos,M s de 3 hasta 5 s.m.,324824,194812,130012,0,0,0
2008,Morelos,M s de 5 hasta 10 s.m.,54508,42559,11949,0,0,0
2008,Morelos,No especificado,15980,9310,6670,0,0,0
2008,Morelos,No recibe ingresos,109085,100672,8413,0,0,0
2008,Nacional,1 salario m¡nimo,769218,690228,78990,0,0,0
2008,Nacional,Menos de 1 s.m.,24454410,21490859,2963551,0,0,0
2008,Nacional,M s de 1 hasta 2 s.m.,847638,709440,138198,0,0,0
2008,Nacional,M s de 10 s.m.,30696959,13800752,16896207,0,0,0
2008,Nacional,M s de 2 hasta 3 s.m.,14928701,14444754,483947,0,0,0
2008,Nacional,M s de 3 hasta 5 s.m.,28644363,17715426,10928937,0,0,0
2008,Nacional,M s de 5 hasta 10 s.m.,4691201,3522989,1168212,0,0,0
2008,Nacional,No especificado,1427113,902529,524584,0,0,0
2008,Nacional,No recibe ingresos,7520846,6957355,563491,0,0,0
2008,Nayarit,1 salario m¡nimo,3681,3237,444,0,0,0
2008,Nayarit,Menos de 1 s.m.,338239,319353,18886,0,0,0
2008,Nayarit,M s de 1 hasta 2 s.m.,7905,6392,1513,0,0,0
2008,Nayarit,M s de 10 s.m.,317110,118146,198964,0,0,0
2008,Nayarit,M s de 2 hasta 3 s.m.,158317,154161,4156,0,0,0
2008,Nayarit,M s de 3 hasta 5 s.m.,167743,102629,65114,0,0,0
2008,Nayarit,M s de 5 hasta 10 s.m.,31418,23040,8378,0,0,0
2008,Nayarit,No especificado,6812,3606,3206,0,0,0
2008,Nayarit,No recibe ingresos,58067,53550,4517,0,0,0
2008,Nuevo Le¢n,1 salario m¡nimo,9812,7233,2579,0,0,0
2008,Nuevo Le¢n,Menos de 1 s.m.,141287,130896,10391,0,0,0
2008,Nuevo Le¢n,M s de 1 hasta 2 s.m.,43005,34729,8276,0,0,0
2008,Nuevo Le¢n,M s de 10 s.m.,1227063,579984,647079,0,0,0
2008,Nuevo Le¢n,M s de 2 hasta 3 s.m.,773601,751075,22526,0,0,0
2008,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1819417,1262494,556923,0,0,0
2008,Nuevo Le¢n,M s de 5 hasta 10 s.m.,324681,237592,87089,0,0,0
2008,Nuevo Le¢n,No especificado,88951,62046,26905,0,0,0
2008,Nuevo Le¢n,No recibe ingresos,432655,398662,33993,0,0,0
2008,Oaxaca,1 salario m¡nimo,6502,6401,101,0,0,0
2008,Oaxaca,Menos de 1 s.m.,1937243,1597983,339260,0,0,0
2008,Oaxaca,M s de 1 hasta 2 s.m.,8989,7002,1987,0,0,0
2008,Oaxaca,M s de 10 s.m.,880976,305312,575664,0,0,0
2008,Oaxaca,M s de 2 hasta 3 s.m.,455673,449211,6462,0,0,0
2008,Oaxaca,M s de 3 hasta 5 s.m.,696976,257676,439300,0,0,0
2008,Oaxaca,M s de 5 hasta 10 s.m.,78360,53949,24411,0,0,0
2008,Oaxaca,No especificado,16312,9721,6591,0,0,0
2008,Oaxaca,No recibe ingresos,196779,188409,8370,0,0,0
2008,Puebla,1 salario m¡nimo,30537,29346,1191,0,0,0
2008,Puebla,Menos de 1 s.m.,2243648,1730092,513556,0,0,0
2008,Puebla,M s de 1 hasta 2 s.m.,23580,19206,4374,0,0,0
2008,Puebla,M s de 10 s.m.,1477129,643593,833536,0,0,0
2008,Puebla,M s de 2 hasta 3 s.m.,653808,642071,11737,0,0,0
2008,Puebla,M s de 3 hasta 5 s.m.,1645238,905414,739824,0,0,0
2008,Puebla,M s de 5 hasta 10 s.m.,240328,161948,78380,0,0,0
2008,Puebla,No especificado,35536,23518,12018,0,0,0
2008,Puebla,No recibe ingresos,272020,261443,10577,0,0,0
2008,Queretaro,1 salario m¡nimo,5163,5014,149,0,0,0
2008,Queretaro,Menos de 1 s.m.,237492,205602,31890,0,0,0
2008,Queretaro,M s de 1 hasta 2 s.m.,11264,9517,1747,0,0,0
2008,Queretaro,M s de 10 s.m.,439345,182373,256972,0,0,0
2008,Queretaro,M s de 2 hasta 3 s.m.,282855,271032,11823,0,0,0
2008,Queretaro,M s de 3 hasta 5 s.m.,597934,378835,219099,0,0,0
2008,Queretaro,M s de 5 hasta 10 s.m.,89795,65326,24469,0,0,0
2008,Queretaro,No especificado,24940,15301,9639,0,0,0
2008,Queretaro,No recibe ingresos,112904,105763,7141,0,0,0
2008,Quintana Roo,1 salario m¡nimo,5147,5147,0,0,0,0
2008,Quintana Roo,Menos de 1 s.m.,135082,122148,12934,0,0,0
2008,Quintana Roo,M s de 1 hasta 2 s.m.,7341,6096,1245,0,0,0
2008,Quintana Roo,M s de 10 s.m.,425907,177493,248414,0,0,0
2008,Quintana Roo,M s de 2 hasta 3 s.m.,263203,249061,14142,0,0,0
2008,Quintana Roo,M s de 3 hasta 5 s.m.,153804,93599,60205,0,0,0
2008,Quintana Roo,M s de 5 hasta 10 s.m.,41732,30800,10932,0,0,0
2008,Quintana Roo,No especificado,28290,18293,9997,0,0,0
2008,Quintana Roo,No recibe ingresos,139537,127509,12028,0,0,0
2008,San Luis Potos¡,1 salario m¡nimo,24083,23008,1075,0,0,0
2008,San Luis Potos¡,Menos de 1 s.m.,796688,695901,100787,0,0,0
2008,San Luis Potos¡,M s de 1 hasta 2 s.m.,17805,13472,4333,0,0,0
2008,San Luis Potos¡,M s de 10 s.m.,624246,270463,353783,0,0,0
2008,San Luis Potos¡,M s de 2 hasta 3 s.m.,303568,293541,10027,0,0,0
2008,San Luis Potos¡,M s de 3 hasta 5 s.m.,652159,420520,231639,0,0,0
2008,San Luis Potos¡,M s de 5 hasta 10 s.m.,112662,81519,31143,0,0,0
2008,San Luis Potos¡,No especificado,16914,10392,6522,0,0,0
2008,San Luis Potos¡,No recibe ingresos,138399,128970,9429,0,0,0
2008,Sinaloa,1 salario m¡nimo,13889,13393,496,0,0,0
2008,Sinaloa,Menos de 1 s.m.,887211,779816,107395,0,0,0
2008,Sinaloa,M s de 1 hasta 2 s.m.,30073,25068,5005,0,0,0
2008,Sinaloa,M s de 10 s.m.,864912,382357,482555,0,0,0
2008,Sinaloa,M s de 2 hasta 3 s.m.,391892,375131,16761,0,0,0
2008,Sinaloa,M s de 3 hasta 5 s.m.,470809,304040,166769,0,0,0
2008,Sinaloa,M s de 5 hasta 10 s.m.,135768,95980,39788,0,0,0
2008,Sinaloa,No especificado,31123,17403,13720,0,0,0
2008,Sinaloa,No recibe ingresos,128270,121025,7245,0,0,0
2008,Sonora,1 salario m¡nimo,28723,26499,2224,0,0,0
2008,Sonora,Menos de 1 s.m.,439315,383230,56085,0,0,0
2008,Sonora,M s de 1 hasta 2 s.m.,17887,11935,5952,0,0,0
2008,Sonora,M s de 10 s.m.,726818,341256,385562,0,0,0
2008,Sonora,M s de 2 hasta 3 s.m.,384116,372089,12027,0,0,0
2008,Sonora,M s de 3 hasta 5 s.m.,747064,411274,335790,0,0,0
2008,Sonora,M s de 5 hasta 10 s.m.,117288,83237,34051,0,0,0
2008,Sonora,No especificado,35866,24781,11085,0,0,0
2008,Sonora,No recibe ingresos,135892,122571,13321,0,0,0
2008,Tabasco,1 salario m¡nimo,160539,136451,24088,0,0,0
2008,Tabasco,Menos de 1 s.m.,577105,554622,22483,0,0,0
2008,Tabasco,M s de 1 hasta 2 s.m.,15905,12459,3446,0,0,0
2008,Tabasco,M s de 10 s.m.,569374,285843,283531,0,0,0
2008,Tabasco,M s de 2 hasta 3 s.m.,259716,254714,5002,0,0,0
2008,Tabasco,M s de 3 hasta 5 s.m.,263569,171746,91823,0,0,0
2008,Tabasco,M s de 5 hasta 10 s.m.,89168,76075,13093,0,0,0
2008,Tabasco,No especificado,22450,15557,6893,0,0,0
2008,Tabasco,No recibe ingresos,136340,130694,5646,0,0,0
2008,Tamaulipas,1 salario m¡nimo,59476,48593,10883,0,0,0
2008,Tamaulipas,Menos de 1 s.m.,343166,323804,19362,0,0,0
2008,Tamaulipas,M s de 1 hasta 2 s.m.,38878,33558,5320,0,0,0
2008,Tamaulipas,M s de 10 s.m.,968610,462295,506315,0,0,0
2008,Tamaulipas,M s de 2 hasta 3 s.m.,556529,534968,21561,0,0,0
2008,Tamaulipas,M s de 3 hasta 5 s.m.,960851,585753,375098,0,0,0
2008,Tamaulipas,M s de 5 hasta 10 s.m.,141663,104016,37647,0,0,0
2008,Tamaulipas,No especificado,53923,37646,16277,0,0,0
2008,Tamaulipas,No recibe ingresos,250946,214699,36247,0,0,0
2008,Tlaxcala,1 salario m¡nimo,1468,1468,0,0,0,0
2008,Tlaxcala,Menos de 1 s.m.,281316,243419,37897,0,0,0
2008,Tlaxcala,M s de 1 hasta 2 s.m.,4064,3547,517,0,0,0
2008,Tlaxcala,M s de 10 s.m.,301916,132545,169371,0,0,0
2008,Tlaxcala,M s de 2 hasta 3 s.m.,163457,161559,1898,0,0,0
2008,Tlaxcala,M s de 3 hasta 5 s.m.,414710,240623,174087,0,0,0
2008,Tlaxcala,M s de 5 hasta 10 s.m.,22207,16760,5447,0,0,0
2008,Tlaxcala,No especificado,5436,2430,3006,0,0,0
2008,Tlaxcala,No recibe ingresos,51720,50391,1329,0,0,0
2008,Veracruz,1 salario m¡nimo,117842,100582,17260,0,0,0
2008,Veracruz,Menos de 1 s.m.,2738757,2526254,212503,0,0,0
2008,Veracruz,M s de 1 hasta 2 s.m.,80739,64177,16562,0,0,0
2008,Veracruz,M s de 10 s.m.,2086822,915129,1171693,0,0,0
2008,Veracruz,M s de 2 hasta 3 s.m.,1002620,962849,39771,0,0,0
2008,Veracruz,M s de 3 hasta 5 s.m.,1123536,737445,386091,0,0,0
2008,Veracruz,M s de 5 hasta 10 s.m.,137375,107646,29729,0,0,0
2008,Veracruz,No especificado,64091,43864,20227,0,0,0
2008,Veracruz,No recibe ingresos,491832,447542,44290,0,0,0
2008,Yucat n,1 salario m¡nimo,6524,6256,268,0,0,0
2008,Yucat n,Menos de 1 s.m.,400750,370065,30685,0,0,0
2008,Yucat n,M s de 1 hasta 2 s.m.,18603,14346,4257,0,0,0
2008,Yucat n,M s de 10 s.m.,490234,216945,273289,0,0,0
2008,Yucat n,M s de 2 hasta 3 s.m.,326825,319300,7525,0,0,0
2008,Yucat n,M s de 3 hasta 5 s.m.,688888,355666,333222,0,0,0
2008,Yucat n,M s de 5 hasta 10 s.m.,100805,79413,21392,0,0,0
2008,Yucat n,No especificado,26112,19315,6797,0,0,0
2008,Yucat n,No recibe ingresos,124123,116688,7435,0,0,0
2008,Zacatecas,1 salario m¡nimo,23765,23062,703,0,0,0
2008,Zacatecas,Menos de 1 s.m.,591299,501814,89485,0,0,0
2008,Zacatecas,M s de 1 hasta 2 s.m.,3513,2946,567,0,0,0
2008,Zacatecas,M s de 10 s.m.,386346,155361,230985,0,0,0
2008,Zacatecas,M s de 2 hasta 3 s.m.,202710,199592,3118,0,0,0
2008,Zacatecas,M s de 3 hasta 5 s.m.,184127,116306,67821,0,0,0
2008,Zacatecas,M s de 5 hasta 10 s.m.,45897,37080,8817,0,0,0
2008,Zacatecas,No especificado,7198,3918,3280,0,0,0
2008,Zacatecas,No recibe ingresos,33575,32145,1430,0,0,0
2009,Aguascalientes,1 salario m¡nimo,4512,4326,186,0,0,0
2009,Aguascalientes,Menos de 1 s.m.,109388,103376,6012,0,0,0
2009,Aguascalientes,M s de 1 hasta 2 s.m.,6088,4622,1466,0,0,0
2009,Aguascalientes,M s de 10 s.m.,300755,148627,152128,0,0,0
2009,Aguascalientes,M s de 2 hasta 3 s.m.,143470,138788,4682,0,0,0
2009,Aguascalientes,M s de 3 hasta 5 s.m.,334744,222658,112086,0,0,0
2009,Aguascalientes,M s de 5 hasta 10 s.m.,50241,40336,9905,0,0,0
2009,Aguascalientes,No especificado,9158,4589,4569,0,0,0
2009,Aguascalientes,No recibe ingresos,59738,57047,2691,0,0,0
2009,Baja California,1 salario m¡nimo,5156,4827,329,0,0,0
2009,Baja California,Menos de 1 s.m.,336117,259595,76522,0,0,0
2009,Baja California,M s de 1 hasta 2 s.m.,29911,25242,4669,0,0,0
2009,Baja California,M s de 10 s.m.,956993,500348,456645,0,0,0
2009,Baja California,M s de 2 hasta 3 s.m.,371509,361391,10118,0,0,0
2009,Baja California,M s de 3 hasta 5 s.m.,1004356,583760,420596,0,0,0
2009,Baja California,M s de 5 hasta 10 s.m.,119225,86288,32937,0,0,0
2009,Baja California,No especificado,40666,24036,16630,0,0,0
2009,Baja California,No recibe ingresos,180790,158984,21806,0,0,0
2009,Baja California Sur,1 salario m¡nimo,8765,8446,319,0,0,0
2009,Baja California Sur,Menos de 1 s.m.,97687,82855,14832,0,0,0
2009,Baja California Sur,M s de 1 hasta 2 s.m.,11069,8525,2544,0,0,0
2009,Baja California Sur,M s de 10 s.m.,184299,91558,92741,0,0,0
2009,Baja California Sur,M s de 2 hasta 3 s.m.,118109,113011,5098,0,0,0
2009,Baja California Sur,M s de 3 hasta 5 s.m.,65480,41827,23653,0,0,0
2009,Baja California Sur,M s de 5 hasta 10 s.m.,25937,20743,5194,0,0,0
2009,Baja California Sur,No especificado,6045,3283,2762,0,0,0
2009,Baja California Sur,No recibe ingresos,44612,39997,4615,0,0,0
2009,Campeche,1 salario m¡nimo,35587,28697,6890,0,0,0
2009,Campeche,Menos de 1 s.m.,282433,259658,22775,0,0,0
2009,Campeche,M s de 1 hasta 2 s.m.,3770,3266,504,0,0,0
2009,Campeche,M s de 10 s.m.,205494,86489,119005,0,0,0
2009,Campeche,M s de 2 hasta 3 s.m.,117606,113253,4353,0,0,0
2009,Campeche,M s de 3 hasta 5 s.m.,123348,62641,60707,0,0,0
2009,Campeche,M s de 5 hasta 10 s.m.,17632,13246,4386,0,0,0
2009,Campeche,No especificado,8474,6051,2423,0,0,0
2009,Campeche,No recibe ingresos,59261,56452,2809,0,0,0
2009,Chiapas,1 salario m¡nimo,3368,3368,0,0,0,0
2009,Chiapas,Menos de 1 s.m.,2640555,2510529,130026,0,0,0
2009,Chiapas,M s de 1 hasta 2 s.m.,32918,26219,6699,0,0,0
2009,Chiapas,M s de 10 s.m.,1032910,332416,700494,0,0,0
2009,Chiapas,M s de 2 hasta 3 s.m.,474031,465579,8452,0,0,0
2009,Chiapas,M s de 3 hasta 5 s.m.,541775,317220,224555,0,0,0
2009,Chiapas,M s de 5 hasta 10 s.m.,158052,127826,30226,0,0,0
2009,Chiapas,No especificado,11825,7800,4025,0,0,0
2009,Chiapas,No recibe ingresos,222640,214015,8625,0,0,0
2009,Chihuahua,1 salario m¡nimo,12907,12005,902,0,0,0
2009,Chihuahua,Menos de 1 s.m.,575537,548979,26558,0,0,0
2009,Chihuahua,M s de 1 hasta 2 s.m.,23122,21326,1796,0,0,0
2009,Chihuahua,M s de 10 s.m.,883946,514471,369475,0,0,0
2009,Chihuahua,M s de 2 hasta 3 s.m.,439102,425719,13383,0,0,0
2009,Chihuahua,M s de 3 hasta 5 s.m.,1024663,647490,377173,0,0,0
2009,Chihuahua,M s de 5 hasta 10 s.m.,94511,64342,30169,0,0,0
2009,Chihuahua,No especificado,54337,40564,13773,0,0,0
2009,Chihuahua,No recibe ingresos,142334,123171,19163,0,0,0
2009,Ciudad de Mxico,1 salario m¡nimo,9993,7246,2747,0,0,0
2009,Ciudad de Mxico,Menos de 1 s.m.,53104,46602,6502,0,0,0
2009,Ciudad de Mxico,M s de 1 hasta 2 s.m.,102006,79673,22333,0,0,0
2009,Ciudad de Mxico,M s de 10 s.m.,2838228,1411128,1427100,0,0,0
2009,Ciudad de Mxico,M s de 2 hasta 3 s.m.,789913,735406,54507,0,0,0
2009,Ciudad de Mxico,M s de 3 hasta 5 s.m.,1850135,1187711,662424,0,0,0
2009,Ciudad de Mxico,M s de 5 hasta 10 s.m.,458558,328895,129663,0,0,0
2009,Ciudad de Mxico,No especificado,324638,206636,118002,0,0,0
2009,Ciudad de Mxico,No recibe ingresos,973562,874564,98998,0,0,0
2009,Coahuila,1 salario m¡nimo,57091,54327,2764,0,0,0
2009,Coahuila,Menos de 1 s.m.,244282,232851,11431,0,0,0
2009,Coahuila,M s de 1 hasta 2 s.m.,19004,14522,4482,0,0,0
2009,Coahuila,M s de 10 s.m.,780684,361385,419299,0,0,0
2009,Coahuila,M s de 2 hasta 3 s.m.,333592,318311,15281,0,0,0
2009,Coahuila,M s de 3 hasta 5 s.m.,867910,631863,236047,0,0,0
2009,Coahuila,M s de 5 hasta 10 s.m.,144462,111949,32513,0,0,0
2009,Coahuila,No especificado,44943,30365,14578,0,0,0
2009,Coahuila,No recibe ingresos,157250,148070,9180,0,0,0
2009,Colima,1 salario m¡nimo,7062,6944,118,0,0,0
2009,Colima,Menos de 1 s.m.,154466,132669,21797,0,0,0
2009,Colima,M s de 1 hasta 2 s.m.,8570,6969,1601,0,0,0
2009,Colima,M s de 10 s.m.,190802,69926,120876,0,0,0
2009,Colima,M s de 2 hasta 3 s.m.,100517,96201,4316,0,0,0
2009,Colima,M s de 3 hasta 5 s.m.,108692,67051,41641,0,0,0
2009,Colima,M s de 5 hasta 10 s.m.,23071,16633,6438,0,0,0
2009,Colima,No especificado,12646,7766,4880,0,0,0
2009,Colima,No recibe ingresos,69642,57799,11843,0,0,0
2009,Durango,1 salario m¡nimo,53505,49053,4452,0,0,0
2009,Durango,Menos de 1 s.m.,427111,413257,13854,0,0,0
2009,Durango,M s de 1 hasta 2 s.m.,13759,11603,2156,0,0,0
2009,Durango,M s de 10 s.m.,394454,149198,245256,0,0,0
2009,Durango,M s de 2 hasta 3 s.m.,175202,171256,3946,0,0,0
2009,Durango,M s de 3 hasta 5 s.m.,308590,215512,93078,0,0,0
2009,Durango,M s de 5 hasta 10 s.m.,47908,37727,10181,0,0,0
2009,Durango,No especificado,16660,8687,7973,0,0,0
2009,Durango,No recibe ingresos,113681,109012,4669,0,0,0
2009,Estado de Mxico,1 salario m¡nimo,31195,30863,332,0,0,0
2009,Estado de Mxico,Menos de 1 s.m.,1276226,1129148,147078,0,0,0
2009,Estado de Mxico,M s de 1 hasta 2 s.m.,131099,114723,16376,0,0,0
2009,Estado de Mxico,M s de 10 s.m.,4583448,2302868,2280580,0,0,0
2009,Estado de Mxico,M s de 2 hasta 3 s.m.,2197915,2131808,66107,0,0,0
2009,Estado de Mxico,M s de 3 hasta 5 s.m.,4198117,2781403,1416714,0,0,0
2009,Estado de Mxico,M s de 5 hasta 10 s.m.,657979,501298,156681,0,0,0
2009,Estado de Mxico,No especificado,255541,163986,91555,0,0,0
2009,Estado de Mxico,No recibe ingresos,1800680,1728856,71824,0,0,0
2009,Guanajuato,1 salario m¡nimo,14440,11962,2478,0,0,0
2009,Guanajuato,Menos de 1 s.m.,992905,860233,132672,0,0,0
2009,Guanajuato,M s de 1 hasta 2 s.m.,33677,31500,2177,0,0,0
2009,Guanajuato,M s de 10 s.m.,1556701,663649,893052,0,0,0
2009,Guanajuato,M s de 2 hasta 3 s.m.,603280,591551,11729,0,0,0
2009,Guanajuato,M s de 3 hasta 5 s.m.,1958263,1238192,720071,0,0,0
2009,Guanajuato,M s de 5 hasta 10 s.m.,229531,167523,62008,0,0,0
2009,Guanajuato,No especificado,41284,28070,13214,0,0,0
2009,Guanajuato,No recibe ingresos,214715,193137,21578,0,0,0
2009,Guerrero,1 salario m¡nimo,10226,9946,280,0,0,0
2009,Guerrero,Menos de 1 s.m.,1625031,1342761,282270,0,0,0
2009,Guerrero,M s de 1 hasta 2 s.m.,26190,21909,4281,0,0,0
2009,Guerrero,M s de 10 s.m.,889771,302161,587610,0,0,0
2009,Guerrero,M s de 2 hasta 3 s.m.,359189,350541,8648,0,0,0
2009,Guerrero,M s de 3 hasta 5 s.m.,553681,235081,318600,0,0,0
2009,Guerrero,M s de 5 hasta 10 s.m.,107887,92530,15357,0,0,0
2009,Guerrero,No especificado,26724,14060,12664,0,0,0
2009,Guerrero,No recibe ingresos,196131,192706,3425,0,0,0
2009,Hidalgo,1 salario m¡nimo,13134,11569,1565,0,0,0
2009,Hidalgo,Menos de 1 s.m.,991280,864799,126481,0,0,0
2009,Hidalgo,M s de 1 hasta 2 s.m.,25732,18647,7085,0,0,0
2009,Hidalgo,M s de 10 s.m.,610123,270671,339452,0,0,0
2009,Hidalgo,M s de 2 hasta 3 s.m.,319744,314150,5594,0,0,0
2009,Hidalgo,M s de 3 hasta 5 s.m.,587252,327929,259323,0,0,0
2009,Hidalgo,M s de 5 hasta 10 s.m.,80847,68218,12629,0,0,0
2009,Hidalgo,No especificado,20840,13354,7486,0,0,0
2009,Hidalgo,No recibe ingresos,150517,140736,9781,0,0,0
2009,Jalisco,1 salario m¡nimo,18468,17735,733,0,0,0
2009,Jalisco,Menos de 1 s.m.,1156582,1040855,115727,0,0,0
2009,Jalisco,M s de 1 hasta 2 s.m.,56357,39330,17027,0,0,0
2009,Jalisco,M s de 10 s.m.,2350579,1043311,1307268,0,0,0
2009,Jalisco,M s de 2 hasta 3 s.m.,962894,936578,26316,0,0,0
2009,Jalisco,M s de 3 hasta 5 s.m.,2286308,1494612,791696,0,0,0
2009,Jalisco,M s de 5 hasta 10 s.m.,409196,308965,100231,0,0,0
2009,Jalisco,No especificado,92378,58880,33498,0,0,0
2009,Jalisco,No recibe ingresos,404068,360581,43487,0,0,0
2009,Michoac n,1 salario m¡nimo,8827,7078,1749,0,0,0
2009,Michoac n,Menos de 1 s.m.,1376950,1240799,136151,0,0,0
2009,Michoac n,M s de 1 hasta 2 s.m.,18367,14729,3638,0,0,0
2009,Michoac n,M s de 10 s.m.,1445418,569882,875536,0,0,0
2009,Michoac n,M s de 2 hasta 3 s.m.,553122,542381,10741,0,0,0
2009,Michoac n,M s de 3 hasta 5 s.m.,880870,579159,301711,0,0,0
2009,Michoac n,M s de 5 hasta 10 s.m.,141783,122073,19710,0,0,0
2009,Michoac n,No especificado,28642,15383,13259,0,0,0
2009,Michoac n,No recibe ingresos,207718,192628,15090,0,0,0
2009,Morelos,1 salario m¡nimo,10172,10172,0,0,0,0
2009,Morelos,Menos de 1 s.m.,390401,354300,36101,0,0,0
2009,Morelos,M s de 1 hasta 2 s.m.,7453,6423,1030,0,0,0
2009,Morelos,M s de 10 s.m.,585653,226959,358694,0,0,0
2009,Morelos,M s de 2 hasta 3 s.m.,277686,272139,5547,0,0,0
2009,Morelos,M s de 3 hasta 5 s.m.,329566,203302,126264,0,0,0
2009,Morelos,M s de 5 hasta 10 s.m.,53269,41087,12182,0,0,0
2009,Morelos,No especificado,21390,14812,6578,0,0,0
2009,Morelos,No recibe ingresos,109264,101206,8058,0,0,0
2009,Nacional,1 salario m¡nimo,829450,737805,91645,0,0,0
2009,Nacional,Menos de 1 s.m.,24869173,22196276,2672897,0,0,0
2009,Nacional,M s de 1 hasta 2 s.m.,885133,714993,170140,0,0,0
2009,Nacional,M s de 10 s.m.,31633550,14158780,17474770,0,0,0
2009,Nacional,M s de 2 hasta 3 s.m.,14381669,13933311,448358,0,0,0
2009,Nacional,M s de 3 hasta 5 s.m.,27339202,17004105,10335097,0,0,0
2009,Nacional,M s de 5 hasta 10 s.m.,4490253,3390590,1099663,0,0,0
2009,Nacional,No especificado,1509899,958345,551554,0,0,0
2009,Nacional,No recibe ingresos,7824362,7256613,567749,0,0,0
2009,Nayarit,1 salario m¡nimo,2516,2516,0,0,0,0
2009,Nayarit,Menos de 1 s.m.,365668,339031,26637,0,0,0
2009,Nayarit,M s de 1 hasta 2 s.m.,9702,7763,1939,0,0,0
2009,Nayarit,M s de 10 s.m.,345000,118775,226225,0,0,0
2009,Nayarit,M s de 2 hasta 3 s.m.,144349,140225,4124,0,0,0
2009,Nayarit,M s de 3 hasta 5 s.m.,168236,103792,64444,0,0,0
2009,Nayarit,M s de 5 hasta 10 s.m.,36313,27842,8471,0,0,0
2009,Nayarit,No especificado,8984,5776,3208,0,0,0
2009,Nayarit,No recibe ingresos,61459,56217,5242,0,0,0
2009,Nuevo Le¢n,1 salario m¡nimo,9060,7504,1556,0,0,0
2009,Nuevo Le¢n,Menos de 1 s.m.,152973,145241,7732,0,0,0
2009,Nuevo Le¢n,M s de 1 hasta 2 s.m.,43735,36431,7304,0,0,0
2009,Nuevo Le¢n,M s de 10 s.m.,1259653,598387,661266,0,0,0
2009,Nuevo Le¢n,M s de 2 hasta 3 s.m.,721004,684679,36325,0,0,0
2009,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1625783,1172892,452891,0,0,0
2009,Nuevo Le¢n,M s de 5 hasta 10 s.m.,344466,243903,100563,0,0,0
2009,Nuevo Le¢n,No especificado,98950,60257,38693,0,0,0
2009,Nuevo Le¢n,No recibe ingresos,451333,423123,28210,0,0,0
2009,Oaxaca,1 salario m¡nimo,6596,5770,826,0,0,0
2009,Oaxaca,Menos de 1 s.m.,2066880,1766334,300546,0,0,0
2009,Oaxaca,M s de 1 hasta 2 s.m.,11211,9216,1995,0,0,0
2009,Oaxaca,M s de 10 s.m.,916152,305106,611046,0,0,0
2009,Oaxaca,M s de 2 hasta 3 s.m.,465279,458072,7207,0,0,0
2009,Oaxaca,M s de 3 hasta 5 s.m.,770883,259966,510917,0,0,0
2009,Oaxaca,M s de 5 hasta 10 s.m.,67604,48091,19513,0,0,0
2009,Oaxaca,No especificado,17166,11965,5201,0,0,0
2009,Oaxaca,No recibe ingresos,190071,177011,13060,0,0,0
2009,Puebla,1 salario m¡nimo,29467,28680,787,0,0,0
2009,Puebla,Menos de 1 s.m.,2170482,1722613,447869,0,0,0
2009,Puebla,M s de 1 hasta 2 s.m.,29219,24025,5194,0,0,0
2009,Puebla,M s de 10 s.m.,1468593,658061,810532,0,0,0
2009,Puebla,M s de 2 hasta 3 s.m.,660519,646937,13582,0,0,0
2009,Puebla,M s de 3 hasta 5 s.m.,1653604,932328,721276,0,0,0
2009,Puebla,M s de 5 hasta 10 s.m.,200603,138696,61907,0,0,0
2009,Puebla,No especificado,43696,27324,16372,0,0,0
2009,Puebla,No recibe ingresos,291422,276068,15354,0,0,0
2009,Queretaro,1 salario m¡nimo,3472,3472,0,0,0,0
2009,Queretaro,Menos de 1 s.m.,223873,191463,32410,0,0,0
2009,Queretaro,M s de 1 hasta 2 s.m.,13423,12061,1362,0,0,0
2009,Queretaro,M s de 10 s.m.,433798,185893,247905,0,0,0
2009,Queretaro,M s de 2 hasta 3 s.m.,270917,261897,9020,0,0,0
2009,Queretaro,M s de 3 hasta 5 s.m.,543869,353688,190181,0,0,0
2009,Queretaro,M s de 5 hasta 10 s.m.,74297,57816,16481,0,0,0
2009,Queretaro,No especificado,21204,14757,6447,0,0,0
2009,Queretaro,No recibe ingresos,101843,93984,7859,0,0,0
2009,Quintana Roo,1 salario m¡nimo,1302,1193,109,0,0,0
2009,Quintana Roo,Menos de 1 s.m.,129722,119282,10440,0,0,0
2009,Quintana Roo,M s de 1 hasta 2 s.m.,10310,7347,2963,0,0,0
