year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
2017,Queretaro,1 salario m¡nimo,19913,19394,519,1971970,1442440,529530,97.394,2.606,0
2017,Queretaro,Menos de 1 s.m.,188280,174621,13659,1971970,1442440,529530,92.745,7.255,0
2017,Queretaro,M s de 1 hasta 2 s.m.,11638,10269,1369,1971970,1442440,529530,88.237,11.763,0
2017,Queretaro,M s de 10 s.m.,415267,184468,230799,1971970,1442440,529530,44.422,55.578,0
2017,Queretaro,M s de 2 hasta 3 s.m.,352534,339426,13108,1971970,1442440,529530,96.282,3.718,0
2017,Queretaro,M s de 3 hasta 5 s.m.,715950,486911,229039,1971970,1442440,529530,68.009,31.991,0
2017,Queretaro,M s de 5 hasta 10 s.m.,99730,78318,21412,1971970,1442440,529530,78.53,21.47,0
2017,Queretaro,No especificado,28359,18161,10198,1971970,1442440,529530,64.04,35.96,0
2017,Queretaro,No recibe ingresos,140299,130872,9427,1971970,1442440,529530,93.281,6.719,0
2017,Quintana Roo,1 salario m¡nimo,355,355,0,1421735,1013007,408728,100,0,0
2017,Quintana Roo,Menos de 1 s.m.,170637,159455,11182,1421735,1013007,408728,93.447,6.553,0
2017,Quintana Roo,M s de 1 hasta 2 s.m.,8912,7388,1524,1421735,1013007,408728,82.899,17.101,0
2017,Quintana Roo,M s de 10 s.m.,473640,212038,261602,1421735,1013007,408728,44.768,55.232,0
2017,Quintana Roo,M s de 2 hasta 3 s.m.,279081,265761,13320,1421735,1013007,408728,95.227,4.773,0
2017,Quintana Roo,M s de 3 hasta 5 s.m.,193026,119093,73933,1421735,1013007,408728,61.698,38.302,0
2017,Quintana Roo,M s de 5 hasta 10 s.m.,79527,61748,17779,1421735,1013007,408728,77.644,22.356,0
2017,Quintana Roo,No especificado,20380,10084,10296,1421735,1013007,408728,49.48,50.52,0
2017,Quintana Roo,No recibe ingresos,196177,177085,19092,1421735,1013007,408728,90.268,9.732,0
2017,San Luis Potos¡,1 salario m¡nimo,21016,19552,1464,3092541,2244355,848186,93.034,6.966,0
2017,San Luis Potos¡,Menos de 1 s.m.,842997,775488,67509,3092541,2244355,848186,91.992,8.008,0
2017,San Luis Potos¡,M s de 1 hasta 2 s.m.,14841,12126,2715,3092541,2244355,848186,81.706,18.294,0
2017,San Luis Potos¡,M s de 10 s.m.,690606,280473,410133,3092541,2244355,848186,40.613,59.387,0
2017,San Luis Potos¡,M s de 2 hasta 3 s.m.,392258,381587,10671,3092541,2244355,848186,97.28,2.72,0
2017,San Luis Potos¡,M s de 3 hasta 5 s.m.,855780,541885,313895,3092541,2244355,848186,63.321,36.679,0
2017,San Luis Potos¡,M s de 5 hasta 10 s.m.,101221,76722,24499,3092541,2244355,848186,75.797,24.203,0
2017,San Luis Potos¡,No especificado,24717,15888,8829,3092541,2244355,848186,64.28,35.72,0
2017,San Luis Potos¡,No recibe ingresos,149105,140634,8471,3092541,2244355,848186,94.319,5.681,0
2017,Sinaloa,1 salario m¡nimo,30606,30383,223,3211292,2240473,970819,99.271,0.729,0
2017,Sinaloa,Menos de 1 s.m.,843059,718272,124787,3211292,2240473,970819,85.198,14.802,0
2017,Sinaloa,M s de 1 hasta 2 s.m.,29211,24727,4484,3211292,2240473,970819,84.65,15.35,0
2017,Sinaloa,M s de 10 s.m.,887555,384492,503063,3211292,2240473,970819,43.32,56.68,0
2017,Sinaloa,M s de 2 hasta 3 s.m.,473900,460579,13321,3211292,2240473,970819,97.189,2.811,0
2017,Sinaloa,M s de 3 hasta 5 s.m.,585370,335945,249425,3211292,2240473,970819,57.39,42.61,0
